N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,A,B,C
0.23062746163683034,0.777080813612632,0.9386207621036186,0.1150772851925892,0.06428409916932687,0.36955159117751923,0.2652658990302311,0.4036241056951836,0.04438728381169299,0.42858987388789804,e,eo,tzv
0.08141081281737961,0.8895840009929067,0.36327834686143623,0.2211064130343725,0.29893020914198243,0.9627857262551884,0.6693396561937562,0.7121614875227775,0.7361458632981441,0.9341300522780669,o,or,hmj
0.331566570681068,0.4067887658823167,0.3558271651295676,0.8734999457783736,0.9422120068922479,0.5761229673956882,0.9499017425820296,0.9637815882271709,0.87866695589422,0.554679480450805,g,nv,zpe
0.04406311380056083,0.5397107180335975,0.3658112150793187,0.8224142800695805,0.09225333007946046,0.1553792043560559,0.1405890885134875,0.9812578473800242,0.9646126558835448,0.9175429040627453,t,zs,uas
0.21394823462915324,0.8115865055604031,0.8878770792312635,0.0499354054802984,0.5324167589364458,0.5509094740952946,0.6628972582750612,0.8816536113570829,0.6298012594887261,0.9496064323883042,q,eo,qjl
0.5256190420512666,0.11740277998700521,0.5348854414993012,0.07025619474711053,0.33385318807898134,0.2434299635807391,0.32467614802692524,0.10349412030348915,0.940762920309698,0.2997684552585952,y,dd,jjs
0.24420645112063344,0.9137653560554302,0.4106598279611172,0.297576462061093,0.44747528237013934,0.9361640427447442,0.833979170982199,0.7607527764404228,0.9028144545039591,0.5728194061438463,x,rz,wgl
0.6860237375230345,0.3751377638757849,0.32158428239607173,0.6584860996539056,0.32907052316409535,0.633053146487397,0.7631754100150935,0.5455015198560064,0.1542131220303995,0.46510374015380174,e,px,kcn
0.29457187696965237,0.029073200079824058,0.5882597597018875,0.2935273673152181,0.3383922646284656,0.48782135167572416,0.10037791664670148,0.717118169775836,0.04408800636178167,0.6075704328754925,b,mh,iuw
0.799371530444468,0.59406149683486,0.46457828306707494,0.8182408123842795,0.48546798631780186,0.5441413948116552,0.9545732581461055,0.0435634667972834,0.9442563947074942,0.19197022418816834,p,yr,qes
0.035223354020877284,0.30498276769186905,0.26410936718424416,0.146221753271637,0.5940471632850441,0.4842713264184837,0.0666972139169496,0.6399582696844809,0.4237638136068398,0.9235052216179608,a,pa,wes
