B, N2
aa, 0.455634359211301
ab, 0.522613424990707
ac, 0.480647919867063
ad, 0.482035155011960
ae, 0.523463193307918
af, 0.536371729221588
ag, 0.501430586129255
ah, 0.518239548333095
ai, 0.506802916433540
aj, 0.494490849300026
ak, 0.522349836750311
al, 0.472468097977420
am, 0.480247022037267
an, 0.506431554465652
ao, 0.490923689544421
ap, 0.512951345622333
aq, 0.517465690260880
ar, 0.514239509153571
as, 0.501372550265899
at, 0.504220155312189
au, 0.475276790452184
av, 0.488234038778104
aw, 0.463291386050427
ax, 0.528785908424971
ay, 0.512125605949965
az, 0.529986129977159
ba, 0.518954810103234
bb, 0.509061055186999
bc, 0.471320224543755
bd, 0.507006526845433
be, 0.500308698165270
bf, 0.494842657296524
bg, 0.522239376456948
bh, 0.529010255694593
bi, 0.489928063458666
bj, 0.484448624342229
bk, 0.499457357515862
bl, 0.502907870178500
bm, 0.548333840268741
bn, 0.535477327782555
bo, 0.469626461603171
bp, 0.484792267160815
bq, 0.518578189660254
br, 0.523312707863987
bs, 0.513984594649069
bt, 0.511470287571638
bu, 0.501113630038288
bv, 0.541503822323051
bw, 0.510735993776830
bx, 0.464869974533715
by, 0.528637877977074
bz, 0.510286063799883
ca, 0.503965086142607
cb, 0.552377307437582
cc, 0.468384822331618
cd, 0.479101590536400
ce, 0.485590174336163
cf, 0.477231587854682
cg, 0.461397680601478
ch, 0.536417182848719
ci, 0.544850877985415
cj, 0.491735044529058
ck, 0.580477782512084
cl, 0.495429574691516
cm, 0.479027179148796
cn, 0.485965632329867
co, 0.514554073668490
cp, 0.454228585162045
cq, 0.527153774467728
cr, 0.495146734317610
cs, 0.524283997686339
ct, 0.482521407979281
cu, 0.522607176045478
cv, 0.479971767008998
cw, 0.534912818591255
cx, 0.475543175650389
cy, 0.532236794183119
cz, 0.526725369346878
da, 0.529608750823484
db, 0.486852525678025
dc, 0.478357221978941
dd, 0.498878894762381
de, 0.520494305425554
df, 0.449294211852516
dg, 0.513002421233863
dh, 0.487905369929775
di, 0.541568736956665
dj, 0.482174470978299
dk, 0.478762344674305
dl, 0.556679523109724
dm, 0.510748471015256
dn, 0.562561592444983
do, 0.530362696268793
dp, 0.502704007898215
dq, 0.517967169877976
dr, 0.486956613725361
ds, 0.475688084036165
dt, 0.540772211512668
du, 0.474719392335163
dv, 0.515758390631881
dw, 0.458293794813211
dx, 0.481600523194851
dy, 0.496075953549577
dz, 0.521828095749100
ea, 0.500809305066332
eb, 0.498584072770050
ec, 0.464635741424037
ed, 0.487687831803214
ee, 0.475263306558170
ef, 0.510187955893058
eg, 0.526287005557763
eh, 0.533671463161917
ei, 0.497798777786214
ej, 0.539926981392980
ek, 0.496400434523270
el, 0.475719524846850
em, 0.512588302709378
en, 0.480334274514010
eo, 0.484003872682947
ep, 0.489037237410194
eq, 0.501422464671614
er, 0.470740904090364
es, 0.485409637941672
et, 0.490463524007208
eu, 0.503164901702450
ev, 0.474384737660094
ew, 0.507907455287528
ex, 0.500665520057818
ey, 0.493119479075711
ez, 0.505935625989188
fa, 0.461245886582235
fb, 0.504584156559714
fc, 0.462506367665623
fd, 0.505962212572121
fe, 0.473164426536084
ff, 0.522604176905918
fg, 0.517849564561711
fh, 0.531909542395767
fi, 0.493009523675838
fj, 0.491074000104987
fk, 0.441432158454303
fl, 0.495422755126959
fm, 0.500501040511506
fn, 0.556063489667700
fo, 0.524486847891987
fp, 0.512723183059121
fq, 0.533218406274882
fr, 0.509260893889149
fs, 0.507472842535219
ft, 0.465469862341378
fu, 0.552667656008158
fv, 0.423426064181451
fw, 0.486493218326465
fx, 0.471159869193258
fy, 0.486001174919712
fz, 0.497890649639745
ga, 0.472421301106877
gb, 0.482929557628173
gc, 0.541465249788388
gd, 0.532462438745010
ge, 0.511312811156817
gf, 0.515480184472981
gg, 0.534555039499179
gh, 0.512448357289862
gi, 0.512450520469620
gj, 0.533282966666322
gk, 0.491346980389227
gl, 0.495562054259671
gm, 0.500524395632387
gn, 0.500349370383824
go, 0.527743876660672
gp, 0.495811504097183
gq, 0.483310076140665
gr, 0.496909150378857
gs, 0.457760906569714
gt, 0.532043009742285
gu, 0.529348725366412
gv, 0.517589945141341
gw, 0.490153236404374
gx, 0.500475862781273
gy, 0.518478513990921
gz, 0.505864399402822
ha, 0.495249250372818
hb, 0.523994774503333
hc, 0.530150039056768
hd, 0.523134136688651
he, 0.509197054389405
hf, 0.523259576207404
hg, 0.526804777669842
hh, 0.510859865426111
hi, 0.495113523131972
hj, 0.480080546480028
hk, 0.464728273855450
hl, 0.508007003481502
hm, 0.500544600302916
hn, 0.500487696156380
ho, 0.515979387515818
hp, 0.517007984990488
hq, 0.462062119264263
hr, 0.477525918792247
hs, 0.477076826683534
ht, 0.538535482786589
hu, 0.515099484577071
hv, 0.516039472522977
hw, 0.519616764873289
hx, 0.505568675127385
hy, 0.489844977308712
hz, 0.498283346570693
ia, 0.539138125102079
ib, 0.509066396658620
ic, 0.507220501818151
id, 0.520516205428910
ie, 0.512211723486478
if, 0.495329430560650
ig, 0.477167019486184
ih, 0.474531999880836
ii, 0.507329648169935
ij, 0.471580052445055
ik, 0.512472720952276
il, 0.500356467391462
im, 0.500335737242672
in, 0.531031967751601
io, 0.490630389451536
ip, 0.490250791709799
iq, 0.552715869042399
ir, 0.498467869728638
is, 0.480469214238484
it, 0.481512884934862
