A, N2
a, 0.503929351610791
b, 0.495494645731593
c, 0.496563660550600
d, 0.494509367526803
e, 0.498981788227981
f, 0.502805838668027
g, 0.497221880507037
h, 0.497384035085617
i, 0.496467455790187
j, 0.498522845916911
k, 0.503781179503873
l, 0.504488110790786
m, 0.503938576190878
n, 0.504639721396744
o, 0.500726204988133
p, 0.501664004623007
q, 0.505105271738310
r, 0.499581972477314
s, 0.494288180408234
t, 0.507911965443200
u, 0.506318168246758
v, 0.503470513103216
w, 0.502548895197195
x, 0.498420926146359
y, 0.504264315699355
z, 0.494526866315831
